id,x_studio_charges_line_id/id,x_studio_duties_line_id/id,x_studio_taxes_line_id/id
Jinasena_MasterData_Purchase.import_charges_cid,,Jinasena_MasterData_Purchase.trf_duty_cid,
Jinasena_MasterData_Purchase.import_charges_eic,,Jinasena_MasterData_Purchase.trf_duty_eic,
Jinasena_MasterData_Purchase.import_charges_esc,,Jinasena_MasterData_Purchase.trf_duty_esc,
Jinasena_MasterData_Purchase.import_charges_excise,,Jinasena_MasterData_Purchase.trf_duty_excise,
Jinasena_MasterData_Purchase.import_charges_pal,,Jinasena_MasterData_Purchase.trf_duty_pal,
Jinasena_MasterData_Purchase.import_charges_ridl,,Jinasena_MasterData_Purchase.trf_duty_ridl,
Jinasena_MasterData_Purchase.import_charges_srl,,Jinasena_MasterData_Purchase.trf_duty_srl,
Jinasena_MasterData_Purchase.import_charges_surcharge,,Jinasena_MasterData_Purchase.trf_duty_surcharge,
Jinasena_MasterData_Purchase.import_charges_cid_122,,Jinasena_MasterData_Purchase.trf_duty_cid_49,
Jinasena_MasterData_Purchase.import_charges_eic_123,,Jinasena_MasterData_Purchase.trf_duty_eic_50,
Jinasena_MasterData_Purchase.import_charges_esc_124,,Jinasena_MasterData_Purchase.trf_duty_esc_51,
Jinasena_MasterData_Purchase.import_charges_excise_125,,Jinasena_MasterData_Purchase.trf_duty_excise_52,
Jinasena_MasterData_Purchase.import_charges_pal_126,,Jinasena_MasterData_Purchase.trf_duty_pal_53,
Jinasena_MasterData_Purchase.import_charges_ridl_127,,Jinasena_MasterData_Purchase.trf_duty_ridl_54,
Jinasena_MasterData_Purchase.import_charges_srl_128,,Jinasena_MasterData_Purchase.trf_duty_srl_55,
Jinasena_MasterData_Purchase.import_charges_surcharge_129,,Jinasena_MasterData_Purchase.trf_duty_surcharge_56,
Jinasena_MasterData_Purchase.import_charges_nbt,,,Jinasena_MasterData_Purchase.trf_taxes_nbt
Jinasena_MasterData_Purchase.import_charges_nbt_n,,,Jinasena_MasterData_Purchase.trf_taxes_nbt_n
Jinasena_MasterData_Purchase.import_charges_vat_on_item,,,Jinasena_MasterData_Purchase.trf_taxes_vat_on_item
Jinasena_MasterData_Purchase.import_charges_vat_on_gl,,,Jinasena_MasterData_Purchase.trf_taxes_vat_on_gl
Jinasena_MasterData_Purchase.import_charges_sscl,,,Jinasena_MasterData_Purchase.trf_taxes_sscl
Jinasena_MasterData_Purchase.import_charges_nbt_158,,,Jinasena_MasterData_Purchase.trf_taxes_nbt_75
Jinasena_MasterData_Purchase.import_charges_nbt_n_159,,,Jinasena_MasterData_Purchase.trf_taxes_nbt_n_76
Jinasena_MasterData_Purchase.import_charges_vat_on_item_160,,,Jinasena_MasterData_Purchase.trf_taxes_vat_on_item_77
Jinasena_MasterData_Purchase.import_charges_vat_on_gl_161,,,Jinasena_MasterData_Purchase.trf_taxes_vat_on_gl_78
Jinasena_MasterData_Purchase.import_charges_sscl_162,,,Jinasena_MasterData_Purchase.trf_taxes_sscl_79
Jinasena_MasterData_Purchase.import_charges_bankcharge,Jinasena_MasterData_Purchase.trf_charges_bankcharge,,
Jinasena_MasterData_Purchase.import_charges_clearing,Jinasena_MasterData_Purchase.trf_charges_clearing,,
Jinasena_MasterData_Purchase.import_charges_freight_ex_work,Jinasena_MasterData_Purchase.trf_charges_freight_ex_work,,
Jinasena_MasterData_Purchase.import_charges_insurance,Jinasena_MasterData_Purchase.trf_charges_insurance,,
Jinasena_MasterData_Purchase.import_charges_misc,Jinasena_MasterData_Purchase.trf_charges_misc,,
Jinasena_MasterData_Purchase.import_charges_sup_bank_charge,Jinasena_MasterData_Purchase.trf_charges_sup_bank_charge,,
Jinasena_MasterData_Purchase.import_charges_pallet_charges,Jinasena_MasterData_Purchase.trf_charges_pallet_charges,,
Jinasena_MasterData_Purchase.import_charges_document_charges,Jinasena_MasterData_Purchase.trf_charges_document_charges,,
Jinasena_MasterData_Purchase.import_charges_other,Jinasena_MasterData_Purchase.trf_charges_other,,
Jinasena_MasterData_Purchase.import_charges_bankcharge_182,Jinasena_MasterData_Purchase.trf_charges_bankcharge_121,,
Jinasena_MasterData_Purchase.import_charges_clearing_183,Jinasena_MasterData_Purchase.trf_charges_clearing_122,,
Jinasena_MasterData_Purchase.import_charges_freight_ex_work_184,Jinasena_MasterData_Purchase.trf_charges_freight_ex_work_123,,
Jinasena_MasterData_Purchase.import_charges_insurance_185,Jinasena_MasterData_Purchase.trf_charges_insurance_124,,
Jinasena_MasterData_Purchase.import_charges_misc_186,Jinasena_MasterData_Purchase.trf_charges_misc_125,,
Jinasena_MasterData_Purchase.import_charges_sup_bank_charge_187,Jinasena_MasterData_Purchase.trf_charges_sup_bank_charge_126,,
Jinasena_MasterData_Purchase.import_charges_pallet_charges_188,Jinasena_MasterData_Purchase.trf_charges_pallet_charges_127,,
Jinasena_MasterData_Purchase.import_charges_document_charges_189,Jinasena_MasterData_Purchase.trf_charges_document_charges_128,,
Jinasena_MasterData_Purchase.import_charges_other_190,Jinasena_MasterData_Purchase.trf_charges_other_129,,
