id,x_studio_structure_details_line_ids/id,x_studio_structure_master_id/id
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5513,Jinasena_MasterData_Purchase.structure_details_id_839,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5514,Jinasena_MasterData_Purchase.structure_details_id_840,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5515,Jinasena_MasterData_Purchase.structure_details_id_841,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5516,Jinasena_MasterData_Purchase.structure_details_id_842,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5517,Jinasena_MasterData_Purchase.structure_details_id_843,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5518,Jinasena_MasterData_Purchase.structure_details_id_844,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5519,Jinasena_MasterData_Purchase.structure_details_id_845,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5520,Jinasena_MasterData_Purchase.structure_details_id_846,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5521,Jinasena_MasterData_Purchase.structure_details_id_847,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5522,Jinasena_MasterData_Purchase.structure_details_id_848,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5523,Jinasena_MasterData_Purchase.structure_details_id_849,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5524,Jinasena_MasterData_Purchase.structure_details_id_850,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5525,Jinasena_MasterData_Purchase.structure_details_id_851,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
