id,x_studio_structure_details_line_ids/id,x_studio_structure_master_id/id
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12225,Jinasena_MasterData_Purchase.structure_details_id_839,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12226,Jinasena_MasterData_Purchase.structure_details_id_840,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12227,Jinasena_MasterData_Purchase.structure_details_id_841,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12228,Jinasena_MasterData_Purchase.structure_details_id_842,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12229,Jinasena_MasterData_Purchase.structure_details_id_843,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12230,Jinasena_MasterData_Purchase.structure_details_id_844,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12231,Jinasena_MasterData_Purchase.structure_details_id_845,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12232,Jinasena_MasterData_Purchase.structure_details_id_846,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12233,Jinasena_MasterData_Purchase.structure_details_id_847,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12234,Jinasena_MasterData_Purchase.structure_details_id_848,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12235,Jinasena_MasterData_Purchase.structure_details_id_849,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12236,Jinasena_MasterData_Purchase.structure_details_id_850,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12237,Jinasena_MasterData_Purchase.structure_details_id_851,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12238,Jinasena_MasterData_Purchase.structure_details_id_852,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12239,Jinasena_MasterData_Purchase.structure_details_id_853,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12240,Jinasena_MasterData_Purchase.structure_details_id_854,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12241,Jinasena_MasterData_Purchase.structure_details_id_855,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12242,Jinasena_MasterData_Purchase.structure_details_id_856,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12243,Jinasena_MasterData_Purchase.structure_details_id_857,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12244,Jinasena_MasterData_Purchase.structure_details_id_858,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12245,Jinasena_MasterData_Purchase.structure_details_id_859,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12246,Jinasena_MasterData_Purchase.structure_details_id_860,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12247,Jinasena_MasterData_Purchase.structure_details_id_839,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12248,Jinasena_MasterData_Purchase.structure_details_id_840,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12249,Jinasena_MasterData_Purchase.structure_details_id_841,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12250,Jinasena_MasterData_Purchase.structure_details_id_842,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12251,Jinasena_MasterData_Purchase.structure_details_id_843,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12252,Jinasena_MasterData_Purchase.structure_details_id_844,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12253,Jinasena_MasterData_Purchase.structure_details_id_845,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12254,Jinasena_MasterData_Purchase.structure_details_id_846,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12255,Jinasena_MasterData_Purchase.structure_details_id_847,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12256,Jinasena_MasterData_Purchase.structure_details_id_848,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12257,Jinasena_MasterData_Purchase.structure_details_id_849,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12258,Jinasena_MasterData_Purchase.structure_details_id_850,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12259,Jinasena_MasterData_Purchase.structure_details_id_851,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12260,Jinasena_MasterData_Purchase.structure_details_id_852,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12261,Jinasena_MasterData_Purchase.structure_details_id_853,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
