id,x_studio_charges_line_id/id,x_studio_duties_line_id/id,x_studio_taxes_line_id/id
Jinasena_MasterData_Purchase.misc_charge_codes_cid,,Jinasena_MasterData_Purchase.trf_duty_cid,
Jinasena_MasterData_Purchase.misc_charge_codes_eic,,Jinasena_MasterData_Purchase.trf_duty_eic,
Jinasena_MasterData_Purchase.misc_charge_codes_esc,,Jinasena_MasterData_Purchase.trf_duty_esc,
Jinasena_MasterData_Purchase.misc_charge_codes_excise,,Jinasena_MasterData_Purchase.trf_duty_excise,
Jinasena_MasterData_Purchase.misc_charge_codes_pal,,Jinasena_MasterData_Purchase.trf_duty_pal,
Jinasena_MasterData_Purchase.misc_charge_codes_ridl,,Jinasena_MasterData_Purchase.trf_duty_ridl,
Jinasena_MasterData_Purchase.misc_charge_codes_srl,,Jinasena_MasterData_Purchase.trf_duty_srl,
Jinasena_MasterData_Purchase.misc_charge_codes_surcharge,,Jinasena_MasterData_Purchase.trf_duty_surcharge,
Jinasena_MasterData_Purchase.misc_charge_codes_cid_119,,Jinasena_MasterData_Purchase.trf_duty_cid_49,
Jinasena_MasterData_Purchase.misc_charge_codes_eic_120,,Jinasena_MasterData_Purchase.trf_duty_eic_50,
Jinasena_MasterData_Purchase.misc_charge_codes_esc_121,,Jinasena_MasterData_Purchase.trf_duty_esc_51,
Jinasena_MasterData_Purchase.misc_charge_codes_excise_122,,Jinasena_MasterData_Purchase.trf_duty_excise_52,
Jinasena_MasterData_Purchase.misc_charge_codes_pal_123,,Jinasena_MasterData_Purchase.trf_duty_pal_53,
Jinasena_MasterData_Purchase.misc_charge_codes_ridl_124,,Jinasena_MasterData_Purchase.trf_duty_ridl_54,
Jinasena_MasterData_Purchase.misc_charge_codes_srl_125,,Jinasena_MasterData_Purchase.trf_duty_srl_55,
Jinasena_MasterData_Purchase.misc_charge_codes_surcharge_126,,Jinasena_MasterData_Purchase.trf_duty_surcharge_56,
Jinasena_MasterData_Purchase.misc_charge_codes_nbt,,,Jinasena_MasterData_Purchase.trf_taxes_nbt
Jinasena_MasterData_Purchase.misc_charge_codes_nbt_n,,,Jinasena_MasterData_Purchase.trf_taxes_nbt_n
Jinasena_MasterData_Purchase.misc_charge_codes_vat_on_item,,,Jinasena_MasterData_Purchase.trf_taxes_vat_on_item
Jinasena_MasterData_Purchase.misc_charge_codes_vat_on_gl,,,Jinasena_MasterData_Purchase.trf_taxes_vat_on_gl
Jinasena_MasterData_Purchase.misc_charge_codes_sscl,,,Jinasena_MasterData_Purchase.trf_taxes_sscl
Jinasena_MasterData_Purchase.misc_charge_codes_nbt_155,,,Jinasena_MasterData_Purchase.trf_taxes_nbt_75
Jinasena_MasterData_Purchase.misc_charge_codes_nbt_n_156,,,Jinasena_MasterData_Purchase.trf_taxes_nbt_n_76
Jinasena_MasterData_Purchase.misc_charge_codes_vat_on_item_157,,,Jinasena_MasterData_Purchase.trf_taxes_vat_on_item_77
Jinasena_MasterData_Purchase.misc_charge_codes_vat_on_gl_158,,,Jinasena_MasterData_Purchase.trf_taxes_vat_on_gl_78
Jinasena_MasterData_Purchase.misc_charge_codes_sscl_159,,,Jinasena_MasterData_Purchase.trf_taxes_sscl_79
Jinasena_MasterData_Purchase.misc_charge_codes_bankcharge,Jinasena_MasterData_Purchase.trf_charges_bankcharge,,
Jinasena_MasterData_Purchase.misc_charge_codes_clearing,Jinasena_MasterData_Purchase.trf_charges_clearing,,
Jinasena_MasterData_Purchase.misc_charge_codes_freight_ex_work,Jinasena_MasterData_Purchase.trf_charges_freight_ex_work,,
Jinasena_MasterData_Purchase.misc_charge_codes_insurance,Jinasena_MasterData_Purchase.trf_charges_insurance,,
Jinasena_MasterData_Purchase.misc_charge_codes_misc,Jinasena_MasterData_Purchase.trf_charges_misc,,
Jinasena_MasterData_Purchase.misc_charge_codes_sup_bank_charge,Jinasena_MasterData_Purchase.trf_charges_sup_bank_charge,,
Jinasena_MasterData_Purchase.misc_charge_codes_pallet_charges,Jinasena_MasterData_Purchase.trf_charges_pallet_charges,,
Jinasena_MasterData_Purchase.misc_charge_codes_document_charges,Jinasena_MasterData_Purchase.trf_charges_document_charges,,
Jinasena_MasterData_Purchase.misc_charge_codes_other,Jinasena_MasterData_Purchase.trf_charges_other,,
Jinasena_MasterData_Purchase.misc_charge_codes_bankcharge_179,Jinasena_MasterData_Purchase.trf_charges_bankcharge_121,,
Jinasena_MasterData_Purchase.misc_charge_codes_clearing_180,Jinasena_MasterData_Purchase.trf_charges_clearing_122,,
Jinasena_MasterData_Purchase.misc_charge_codes_freight_ex_work_181,Jinasena_MasterData_Purchase.trf_charges_freight_ex_work_123,,
Jinasena_MasterData_Purchase.misc_charge_codes_insurance_182,Jinasena_MasterData_Purchase.trf_charges_insurance_124,,
Jinasena_MasterData_Purchase.misc_charge_codes_misc_183,Jinasena_MasterData_Purchase.trf_charges_misc_125,,
Jinasena_MasterData_Purchase.misc_charge_codes_sup_bank_charge_184,Jinasena_MasterData_Purchase.trf_charges_sup_bank_charge_126,,
Jinasena_MasterData_Purchase.misc_charge_codes_pallet_charges_185,Jinasena_MasterData_Purchase.trf_charges_pallet_charges_127,,
Jinasena_MasterData_Purchase.misc_charge_codes_document_charges_186,Jinasena_MasterData_Purchase.trf_charges_document_charges_128,,
Jinasena_MasterData_Purchase.misc_charge_codes_other_187,Jinasena_MasterData_Purchase.trf_charges_other_129,,
