id,x_studio_tariff_master_ids/id
Jinasena_MasterData_Purchase.tariff_date_id_779,Jinasena_MasterData_Purchase.tariffmaster_3815_90_00
Jinasena_MasterData_Purchase.tariff_date_id_780,Jinasena_MasterData_Purchase.tariffmaster_3907_29_00
Jinasena_MasterData_Purchase.tariff_date_id_781,Jinasena_MasterData_Purchase.tariffmaster_7318_16_00
Jinasena_MasterData_Purchase.tariff_date_id_782,Jinasena_MasterData_Purchase.tariffmaster_7412_20_00
Jinasena_MasterData_Purchase.tariff_date_id_783,Jinasena_MasterData_Purchase.tariffmaster_8413_70_19
Jinasena_MasterData_Purchase.tariff_date_id_784,Jinasena_MasterData_Purchase.tariffmaster_8413_91_90
Jinasena_MasterData_Purchase.tariff_date_id_785,Jinasena_MasterData_Purchase.tariffmaster_8421_21_10
Jinasena_MasterData_Purchase.tariff_date_id_786,Jinasena_MasterData_Purchase.tariffmaster_8433_53_00
Jinasena_MasterData_Purchase.tariff_date_id_787,Jinasena_MasterData_Purchase.tariffmaster_8481_30_00
Jinasena_MasterData_Purchase.tariff_date_id_788,Jinasena_MasterData_Purchase.tariffmaster_8484_20_00
Jinasena_MasterData_Purchase.tariff_date_id_789,Jinasena_MasterData_Purchase.tariffmaster_8501_40_10
Jinasena_MasterData_Purchase.tariff_date_id_790,Jinasena_MasterData_Purchase.tariffmaster_8501_52_10
Jinasena_MasterData_Purchase.tariff_date_id_791,Jinasena_MasterData_Purchase.tariffmaster_8503_00_90
Jinasena_MasterData_Purchase.tariff_date_id_792,Jinasena_MasterData_Purchase.tariffmaster_8532_25_90
Jinasena_MasterData_Purchase.tariff_date_id_793,Jinasena_MasterData_Purchase.tariffmaster_8536_20_00
Jinasena_MasterData_Purchase.tariff_date_id_794,Jinasena_MasterData_Purchase.tariffmaster_9026_20_00
Jinasena_MasterData_Purchase.tariff_date_id_795,Jinasena_MasterData_Purchase.tariffmaster_9032_20_00
Jinasena_MasterData_Purchase.tariff_date_id_796,Jinasena_MasterData_Purchase.tariffmaster_7318_15_00
Jinasena_MasterData_Purchase.tariff_date_id_797,Jinasena_MasterData_Purchase.tariffmaster_7415_33_90
Jinasena_MasterData_Purchase.tariff_date_id_1167,Jinasena_MasterData_Purchase.tariffmaster_2849_20_00
Jinasena_MasterData_Purchase.tariff_date_id_1168,Jinasena_MasterData_Purchase.tariffmaster_3208_10_10
Jinasena_MasterData_Purchase.tariff_date_id_1169,Jinasena_MasterData_Purchase.tariffmaster_3506_10_90
Jinasena_MasterData_Purchase.tariff_date_id_1170,Jinasena_MasterData_Purchase.tariffmaster_3506_99_90
Jinasena_MasterData_Purchase.tariff_date_id_1171,Jinasena_MasterData_Purchase.tariffmaster_3810_90_00
Jinasena_MasterData_Purchase.tariff_date_id_1172,Jinasena_MasterData_Purchase.tariffmaster_3815_90_00_1000
Jinasena_MasterData_Purchase.tariff_date_id_1173,Jinasena_MasterData_Purchase.tariffmaster_3816_00_00
