id,x_name,x_active,x_studio_sequence,x_studio_description,x_studio_copied,x_studio_vendor_despatch,x_studio_company_id/id
delivery_terms_cfr,CFR,1,10,Cost and Freight,,,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
delivery_terms_fob,FOB,1,10,Free On Board,,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
delivery_terms_cif,CIF,1,10,Cost Insurance & Freight,1,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
delivery_terms_cip,CIP,1,10,Carriage & Insurance Paid To…,,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
delivery_terms_cpt,CPT,1,10,Carriage Paid to...,,,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
delivery_terms_cptpt,CPTPT,1,10,Carriage Paid to 3rd Party Transportation,,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
delivery_terms_daf,DAF,1,10,Delivered at Frontier,,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
delivery_terms_ddp,DDP,1,10,Delivered Duty Paid,,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
delivery_terms_ddu,DDU,1,10,Delivered Duty Unpaid,,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
delivery_terms_deq,DEQ,1,10,Delivered Ex Quay,,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
delivery_terms_des,DES,1,10,Delivered Ex Ship,,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
delivery_terms_exw,EXW,1,10,EX Works,,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
delivery_terms_fas,FAS,1,10,Free Alongside Ship,,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
delivery_terms_fca,FCA,1,10,Free Carrier,,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
delivery_terms_cfr_81,CFR,1,10,Cost and Freight,,,base.main_company
delivery_terms_fob_82,FOB,1,10,Free On Board,,1,base.main_company
delivery_terms_cif_83,CIF,1,10,Cost Insurance & Freight,,,base.main_company
delivery_terms_cip_84,CIP,1,10,Carriage & Insurance Paid To…,,1,base.main_company
delivery_terms_cpt_85,CPT,1,10,Carriage Paid to...,,,base.main_company
delivery_terms_cptpt_86,CPTPT,1,10,Carriage Paid to 3rd Party Transportation,,1,base.main_company
delivery_terms_daf_87,DAF,1,10,Delivered at Frontier,,1,base.main_company
delivery_terms_ddp_88,DDP,1,10,Delivered Duty Paid,,1,base.main_company
delivery_terms_ddu_89,DDU,1,10,Delivered Duty Unpaid,,1,base.main_company
delivery_terms_deq_90,DEQ,1,10,Delivered Ex Quay,,1,base.main_company
delivery_terms_des_91,DES,1,10,Delivered Ex Ship,,1,base.main_company
delivery_terms_exw_92,EXW,1,10,EX Works,,1,base.main_company
delivery_terms_fas_93,FAS,1,10,Free Alongside Ship,,1,base.main_company
delivery_terms_fca_94,FCA,1,10,Free Carrier,,1,base.main_company
