id,x_studio_structure_no,x_studio_basis,x_studio_tax_appicable,x_active,x_studio_amount,x_studio_sequence,x_studio_charge_group,x_studio_charge_name,x_studio_allocate_header_charges
import_rfq_charge_he_id_5513,1,Fixed Per Document,,1,100.0,10,Charges,BankCharge,
import_rfq_charge_he_id_5514,2,Fixed Per Document,,1,200.0,10,Charges,Clearing,
import_rfq_charge_he_id_5515,3,Fixed Per Document,,1,300.0,10,Charges,Freight & Ex work,
import_rfq_charge_he_id_5516,4,Fixed Per Document,,1,150.0,10,Charges,Insurance,
import_rfq_charge_he_id_5517,5,Fixed Per Document,,1,250.0,10,Charges,Misc,
import_rfq_charge_he_id_5518,6,Fixed Per Document,,1,350.0,10,Charges,Sup.Bank Charge,
import_rfq_charge_he_id_5519,7,Fixed Per Document,,1,110.0,10,Charges,Pallet Charges,
import_rfq_charge_he_id_5520,8,Fixed Per Document,,1,220.0,10,Charges,Document Charges,
import_rfq_charge_he_id_5521,9,Fixed Per Document,,1,330.0,10,Charges,Other,
import_rfq_charge_he_id_5522,10,Percentage,,1,0.0,10,Duty,CID,
import_rfq_charge_he_id_5523,11,Percentage,,1,0.0,10,Duty,EIC,
import_rfq_charge_he_id_5524,12,Percentage,,1,0.0,10,Duty,ESC,
import_rfq_charge_he_id_5525,13,Percentage,,1,0.0,10,Duty,Excise,
import_rfq_charge_he_id_5526,14,Percentage,,1,0.0,10,Duty,PAL,
import_rfq_charge_he_id_5527,15,Percentage,,1,0.0,10,Duty,RIDL,
import_rfq_charge_he_id_5528,16,Percentage,,1,0.0,10,Duty,SRL,
import_rfq_charge_he_id_5529,17,Percentage,,1,0.0,10,Duty,Surcharge,
import_rfq_charge_he_id_5530,18,Percentage,,1,0.0,10,Taxes,NBT,
import_rfq_charge_he_id_5531,19,Percentage,,1,0.0,10,Taxes,NBT-N,
import_rfq_charge_he_id_5532,20,Percentage,,1,0.0,10,Taxes,VAT-on-Item,
import_rfq_charge_he_id_5533,21,Percentage,,1,0.0,10,Taxes,VAT-on-GL,
import_rfq_charge_he_id_5534,22,Percentage,,1,0.0,10,Taxes,SSCL,
import_rfq_charge_he_id_5535,1,Fixed Per Document,,1,100.0,10,Charges,BankCharge,1
import_rfq_charge_he_id_5536,2,Fixed Per Document,,1,110.0,10,Charges,Clearing,1
import_rfq_charge_he_id_5537,3,Fixed Per Document,,1,116.0,10,Charges,Freight & Ex work,1
import_rfq_charge_he_id_5538,4,Fixed Per Document,,1,120.0,10,Charges,Insurance,1
import_rfq_charge_he_id_5539,5,Fixed Per Document,,1,125.0,10,Charges,Misc,1
import_rfq_charge_he_id_5540,6,Fixed Per Document,,1,130.0,10,Charges,Sup.Bank Charge,1
import_rfq_charge_he_id_5541,7,Fixed Per Document,,1,135.0,10,Charges,Pallet Charges,1
import_rfq_charge_he_id_5542,8,Fixed Per Document,,1,140.0,10,Charges,Document Charges,1
import_rfq_charge_he_id_5543,9,Fixed Per Document,,1,145.0,10,Charges,Other,1
import_rfq_charge_he_id_5544,10,Percentage,,1,0.0,10,Duty,CID,1
import_rfq_charge_he_id_5545,11,Percentage,,1,0.0,10,Duty,EIC,1
import_rfq_charge_he_id_5546,12,Percentage,,1,0.0,10,Duty,ESC,1
import_rfq_charge_he_id_5547,13,Percentage,,1,0.0,10,Duty,Excise,1
import_rfq_charge_he_id_5548,14,Percentage,,1,2640.0,10,Duty,PAL,1
import_rfq_charge_he_id_5549,15,Percentage,,1,0.0,10,Duty,RIDL,1
import_rfq_charge_he_id_5550,16,Percentage,,1,0.0,10,Duty,SRL,1
import_rfq_charge_he_id_5551,17,Percentage,,1,0.0,10,Duty,Surcharge,1
import_rfq_charge_he_id_5552,18,Percentage,,1,0.0,10,Taxes,NBT,1
import_rfq_charge_he_id_5553,19,Percentage,,1,0.0,10,Taxes,NBT-N,1
import_rfq_charge_he_id_5554,20,Percentage,,1,0.0,10,Taxes,VAT-on-Item,1
import_rfq_charge_he_id_5555,21,Percentage,,1,5702.4,10,Taxes,VAT-on-GL,1
import_rfq_charge_he_id_5556,22,Percentage,,1,792.0,10,Taxes,SSCL,1
import_rfq_charge_he_id_5557,1,Fixed Per Document,,1,100.0,10,Charges,BankCharge,1
import_rfq_charge_he_id_5558,2,Fixed Per Document,,1,200.0,10,Charges,Clearing,1
import_rfq_charge_he_id_5559,3,Fixed Per Document,1,1,400.0,10,Charges,Freight & Ex work,1
import_rfq_charge_he_id_5560,4,Fixed Per Document,1,1,500.0,10,Charges,Insurance,1
import_rfq_charge_he_id_5561,5,Fixed Per Document,,1,600.0,10,Charges,Misc,1
import_rfq_charge_he_id_5562,6,Fixed Per Document,,1,900.0,10,Charges,Sup.Bank Charge,1
import_rfq_charge_he_id_5563,7,Fixed Per Document,,1,800.0,10,Charges,Pallet Charges,1
import_rfq_charge_he_id_5564,8,Fixed Per Document,,1,300.0,10,Charges,Document Charges,1
import_rfq_charge_he_id_5565,9,Fixed Per Document,,1,700.0,10,Charges,Other,1
import_rfq_charge_he_id_5566,10,Percentage,,1,97512.6346181337,10,Duty,CID,1
import_rfq_charge_he_id_5567,11,Percentage,,1,43547.05096161482,10,Duty,EIC,1
import_rfq_charge_he_id_5568,12,Percentage,,1,0.0,10,Duty,ESC,1
import_rfq_charge_he_id_5569,13,Percentage,,1,0.0,10,Duty,Excise,1
import_rfq_charge_he_id_5570,14,Percentage,,1,108708.72468563865,10,Duty,PAL,1
import_rfq_charge_he_id_5571,15,Percentage,,1,0.0,10,Duty,RIDL,1
import_rfq_charge_he_id_5572,16,Percentage,,1,0.0,10,Duty,SRL,1
import_rfq_charge_he_id_5573,17,Percentage,,1,0.0,10,Duty,Surcharge,1
import_rfq_charge_he_id_5574,18,Percentage,,1,0.0,10,Taxes,NBT,1
import_rfq_charge_he_id_5575,19,Percentage,,1,0.0,10,Taxes,NBT-N,1
import_rfq_charge_he_id_5576,20,Percentage,,1,0.0,10,Taxes,VAT-on-Item,1
import_rfq_charge_he_id_5577,21,Percentage,,1,279713.0538477697,10,Taxes,VAT-on-GL,1
import_rfq_charge_he_id_5578,22,Percentage,,1,38849.035256634685,10,Taxes,SSCL,1
import_rfq_charge_he_id_5579,1,Fixed Per Document,,1,100.0,10,Charges,BankCharge,1
import_rfq_charge_he_id_5580,2,Fixed Per Document,,1,200.0,10,Charges,Clearing,1
import_rfq_charge_he_id_5581,3,Fixed Per Document,1,1,300.0,10,Charges,Freight & Ex work,1
import_rfq_charge_he_id_5582,4,Fixed Per Document,1,1,0.0,10,Charges,Insurance,1
import_rfq_charge_he_id_5583,5,Fixed Per Document,,1,0.0,10,Charges,Misc,1
import_rfq_charge_he_id_5584,6,Fixed Per Document,,1,0.0,10,Charges,Sup.Bank Charge,1
import_rfq_charge_he_id_5585,7,Fixed Per Document,,1,0.0,10,Charges,Pallet Charges,1
import_rfq_charge_he_id_5586,8,Fixed Per Document,,1,0.0,10,Charges,Document Charges,1
import_rfq_charge_he_id_5587,9,Fixed Per Document,,1,0.0,10,Charges,Other,1
import_rfq_charge_he_id_5588,10,Percentage,,1,45535.505600000004,10,Duty,CID,1
import_rfq_charge_he_id_5589,11,Percentage,,1,20818.469600000004,10,Duty,EIC,1
import_rfq_charge_he_id_5590,12,Percentage,,1,0.0,10,Duty,ESC,1
import_rfq_charge_he_id_5591,13,Percentage,,1,0.0,10,Duty,Excise,1
import_rfq_charge_he_id_5592,14,Percentage,,1,52213.775,10,Duty,PAL,1
import_rfq_charge_he_id_5593,15,Percentage,,1,0.0,10,Duty,RIDL,1
import_rfq_charge_he_id_5594,16,Percentage,,1,0.0,10,Duty,SRL,1
import_rfq_charge_he_id_5595,17,Percentage,,1,0.0,10,Duty,Surcharge,1
import_rfq_charge_he_id_5596,18,Percentage,,1,0.0,10,Taxes,NBT,1
import_rfq_charge_he_id_5597,19,Percentage,,1,0.0,10,Taxes,NBT-N,1
import_rfq_charge_he_id_5598,20,Percentage,,1,0.0,10,Taxes,VAT-on-Item,1
import_rfq_charge_he_id_5599,21,Percentage,,1,133743.825036,10,Taxes,VAT-on-GL,1
import_rfq_charge_he_id_5600,22,Percentage,,1,18575.531255,10,Taxes,SSCL,1
import_rfq_charge_he_id_5601,1,Fixed Per Document,,1,100.0,10,Charges,BankCharge,1
import_rfq_charge_he_id_5602,2,Fixed Per Document,,1,200.0,10,Charges,Clearing,1
import_rfq_charge_he_id_5603,3,Fixed Per Document,1,1,0.0,10,Charges,Freight & Ex work,1
import_rfq_charge_he_id_5604,4,Fixed Per Document,1,1,0.0,10,Charges,Insurance,1
import_rfq_charge_he_id_5605,5,Fixed Per Document,,1,0.0,10,Charges,Misc,1
import_rfq_charge_he_id_5606,6,Fixed Per Document,,1,0.0,10,Charges,Sup.Bank Charge,1
import_rfq_charge_he_id_5607,7,Fixed Per Document,,1,0.0,10,Charges,Pallet Charges,1
import_rfq_charge_he_id_5608,8,Fixed Per Document,,1,0.0,10,Charges,Document Charges,1
import_rfq_charge_he_id_5609,9,Fixed Per Document,,1,0.0,10,Charges,Other,1
import_rfq_charge_he_id_5610,10,Percentage,,1,354.0,10,Duty,CID,1
import_rfq_charge_he_id_5611,11,Percentage,,1,526.5,10,Duty,EIC,1
import_rfq_charge_he_id_5612,12,Percentage,,1,0.0,10,Duty,ESC,1
import_rfq_charge_he_id_5613,13,Percentage,,1,0.0,10,Duty,Excise,1
import_rfq_charge_he_id_5614,14,Percentage,,1,1500.0,10,Duty,PAL,1
import_rfq_charge_he_id_5615,15,Percentage,,1,0.0,10,Duty,RIDL,1
import_rfq_charge_he_id_5616,16,Percentage,,1,0.0,10,Duty,SRL,1
import_rfq_charge_he_id_5617,17,Percentage,,1,0.0,10,Duty,Surcharge,1
import_rfq_charge_he_id_5618,18,Percentage,,1,0.0,10,Taxes,NBT,1
import_rfq_charge_he_id_5619,19,Percentage,,1,0.0,10,Taxes,NBT-N,1
import_rfq_charge_he_id_5620,20,Percentage,,1,0.0,10,Taxes,VAT-on-Item,1
import_rfq_charge_he_id_5621,21,Percentage,,1,3398.49,10,Taxes,VAT-on-GL,1
import_rfq_charge_he_id_5622,22,Percentage,,1,472.01250000000005,10,Taxes,SSCL,1
import_rfq_charge_he_id_5623,1,Fixed Per Document,,1,500.0,10,Charges,BankCharge,1
import_rfq_charge_he_id_5624,2,Fixed Per Document,,1,1200.0,10,Charges,Clearing,1
import_rfq_charge_he_id_5625,3,Fixed Per Document,1,1,0.0,10,Charges,Freight & Ex work,1
import_rfq_charge_he_id_5626,4,Fixed Per Document,1,1,0.0,10,Charges,Insurance,1
import_rfq_charge_he_id_5627,5,Fixed Per Document,,1,0.0,10,Charges,Misc,1
import_rfq_charge_he_id_5628,6,Fixed Per Document,,1,0.0,10,Charges,Sup.Bank Charge,1
import_rfq_charge_he_id_5629,7,Fixed Per Document,,1,0.0,10,Charges,Pallet Charges,1
import_rfq_charge_he_id_5630,8,Fixed Per Document,,1,0.0,10,Charges,Document Charges,1
import_rfq_charge_he_id_5631,9,Fixed Per Document,,1,0.0,10,Charges,Other,1
import_rfq_charge_he_id_5632,10,Percentage,,1,354.0,10,Duty,CID,1
import_rfq_charge_he_id_5633,11,Percentage,,1,526.5,10,Duty,EIC,1
import_rfq_charge_he_id_5634,12,Percentage,,1,0.0,10,Duty,ESC,1
import_rfq_charge_he_id_5635,13,Percentage,,1,0.0,10,Duty,Excise,1
import_rfq_charge_he_id_5636,14,Percentage,,1,1500.0,10,Duty,PAL,1
import_rfq_charge_he_id_5637,15,Percentage,,1,0.0,10,Duty,RIDL,1
import_rfq_charge_he_id_5638,16,Percentage,,1,0.0,10,Duty,SRL,1
import_rfq_charge_he_id_5639,17,Percentage,,1,0.0,10,Duty,Surcharge,1
import_rfq_charge_he_id_5640,18,Percentage,,1,0.0,10,Taxes,NBT,1
import_rfq_charge_he_id_5641,19,Percentage,,1,0.0,10,Taxes,NBT-N,1
import_rfq_charge_he_id_5642,20,Percentage,,1,0.0,10,Taxes,VAT-on-Item,1
import_rfq_charge_he_id_5643,21,Percentage,,1,3398.49,10,Taxes,VAT-on-GL,1
import_rfq_charge_he_id_5644,22,Percentage,,1,472.01250000000005,10,Taxes,SSCL,1
import_rfq_charge_he_id_5645,1,Fixed Per Document,,1,0.0,10,Charges,BankCharge,1
import_rfq_charge_he_id_5646,2,Fixed Per Document,,1,4141.0,10,Charges,Clearing,1
import_rfq_charge_he_id_5647,3,Fixed Per Document,1,1,22.0,10,Charges,Freight & Ex work,1
import_rfq_charge_he_id_5648,4,Fixed Per Document,1,1,0.0,10,Charges,Insurance,1
import_rfq_charge_he_id_5649,5,Fixed Per Document,,1,0.0,10,Charges,Misc,1
import_rfq_charge_he_id_5650,6,Fixed Per Document,,1,0.0,10,Charges,Sup.Bank Charge,1
import_rfq_charge_he_id_5651,7,Fixed Per Document,,1,0.0,10,Charges,Pallet Charges,1
import_rfq_charge_he_id_5652,8,Fixed Per Document,,1,0.0,10,Charges,Document Charges,1
import_rfq_charge_he_id_5653,9,Fixed Per Document,,1,0.0,10,Charges,Other,1
import_rfq_charge_he_id_5654,10,Percentage,,1,319.1192,10,Duty,CID,1
import_rfq_charge_he_id_5655,11,Percentage,,1,474.62219999999996,10,Duty,EIC,1
import_rfq_charge_he_id_5656,12,Percentage,,1,0.0,10,Duty,ESC,1
import_rfq_charge_he_id_5657,13,Percentage,,1,0.0,10,Duty,Excise,1
