id,x_studio_charge_name,x_studio_charge_group,x_active,x_studio_sequence,x_studio_rfq_charge_header_id/id,x_studio_structure_no,x_studio_basis,x_studio_percent,x_studio_amount,x_studio_company_id/id
import_rfq_charge_li_id_12225,BankCharge,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5535,1,Fixed Per Document,0.0,28.42105263157895,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12226,Clearing,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5536,2,Fixed Per Document,0.0,31.263157894736842,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12227,Freight & Ex work,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5537,3,Fixed Per Document,0.0,32.968421052631584,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12228,Insurance,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5538,4,Fixed Per Document,0.0,34.10526315789474,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12229,Misc,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5539,5,Fixed Per Document,0.0,35.526315789473685,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12230,Sup.Bank Charge,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5540,6,Fixed Per Document,0.0,36.94736842105263,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12231,Pallet Charges,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5541,7,Fixed Per Document,0.0,38.36842105263158,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12232,Document Charges,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5542,8,Fixed Per Document,0.0,39.78947368421053,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12233,Other,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5543,9,Fixed Per Document,0.0,41.21052631578947,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12234,CID,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5544,10,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12235,EIC,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5545,11,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12236,ESC,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5546,12,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12237,Excise,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5547,13,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12238,PAL,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5548,14,Percentage,0.0,990.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12239,RIDL,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5549,15,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12240,SRL,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5550,16,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12241,Surcharge,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5551,17,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12242,NBT,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5552,18,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12243,NBT-N,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5553,19,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12244,VAT-on-Item,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5554,20,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12245,VAT-on-GL,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5555,21,Percentage,0.0,2138.4,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12246,SSCL,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5556,22,Percentage,0.0,297.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12247,BankCharge,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5535,1,Fixed Per Document,0.0,17.894736842105267,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12248,Clearing,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5536,2,Fixed Per Document,0.0,19.68421052631579,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12249,Freight & Ex work,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5537,3,Fixed Per Document,0.0,20.757894736842108,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12250,Insurance,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5538,4,Fixed Per Document,0.0,21.47368421052632,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12251,Misc,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5539,5,Fixed Per Document,0.0,22.368421052631582,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12252,Sup.Bank Charge,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5540,6,Fixed Per Document,0.0,23.263157894736846,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12253,Pallet Charges,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5541,7,Fixed Per Document,0.0,24.15789473684211,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12254,Document Charges,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5542,8,Fixed Per Document,0.0,25.05263157894737,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12255,Other,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5543,9,Fixed Per Document,0.0,25.947368421052634,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12256,CID,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5544,10,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12257,EIC,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5545,11,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
