id,x_active,x_studio_basis,x_studio_sequence,x_studio_charge_name,x_studio_structure_no,x_studio_charge_group,x_studio_currency_id/id,x_studio_structure_master_id/id,x_studio_misc_charge_line_id/id,x_studio_company_id/id
structure_details_id_839,1,Fixed Per Document,10,BankCharge,1,Charges,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_bankcharge,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_840,1,Fixed Per Document,10,Clearing,2,Charges,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_clearing,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_841,1,Fixed Per Document,10,Freight & Ex work,3,Charges,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_freight_ex_work,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_842,1,Fixed Per Document,10,Insurance,4,Charges,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_insurance,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_843,1,Fixed Per Document,10,Misc,5,Charges,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_misc,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_844,1,Fixed Per Document,10,Sup.Bank Charge,6,Charges,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_sup_bank_charge,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_845,1,Fixed Per Document,10,Pallet Charges,7,Charges,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_pallet_charges,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_846,1,Fixed Per Document,10,Document Charges,8,Charges,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_document_charges,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_847,1,Fixed Per Document,10,Other,9,Charges,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_other,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_848,1,Percentage,10,CID,10,Duty,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_cid_119,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_849,1,Percentage,10,EIC,11,Duty,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_eic_120,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_850,1,Percentage,10,ESC,12,Duty,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_esc_121,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_851,1,Percentage,10,Excise,13,Duty,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_excise_122,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_852,1,Percentage,10,PAL,14,Duty,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_pal_123,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_853,1,Percentage,10,RIDL,15,Duty,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_ridl_124,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_854,1,Percentage,10,SRL,16,Duty,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_srl_125,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_855,1,Percentage,10,Surcharge,17,Duty,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_surcharge_126,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_856,1,Percentage,10,NBT,18,Taxes,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_nbt_155,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_857,1,Percentage,10,NBT-N,19,Taxes,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_nbt_n_156,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_858,1,Percentage,10,VAT-on-Item,20,Taxes,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_vat_on_item_157,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_859,1,Percentage,10,VAT-on-GL,21,Taxes,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_vat_on_gl_158,seed_master_data_and_settings.company_jinasena_agricultural_machinery
structure_details_id_860,1,Percentage,10,SSCL,22,Taxes,base.LKR,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam,Jinasena_MasterData_Purchase.misc_charge_codes_sscl_159,seed_master_data_and_settings.company_jinasena_agricultural_machinery
