id,x_studio_sequence,x_active,x_studio_normal_rate,x_studio_charge_name,x_studio_charge_group,x_studio_concessional_rate,x_studio_tariff_date_ids/id,x_studio_misc_charge_line_id/id,x_studio_charge_value,x_studio_company_id/id
tariff_rates_id_17121,10,1,20.0,CID,Duty,0.0,Jinasena_MasterData_Purchase.tariff_date_id_743,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17122,10,1,0.0,EIC,Duty,0.0,Jinasena_MasterData_Purchase.tariff_date_id_743,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17123,10,1,0.0,ESC,Duty,0.0,Jinasena_MasterData_Purchase.tariff_date_id_743,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17124,10,1,0.0,Excise,Duty,0.0,Jinasena_MasterData_Purchase.tariff_date_id_743,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17125,10,1,10.0,PAL,Duty,0.0,Jinasena_MasterData_Purchase.tariff_date_id_743,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17126,10,1,0.0,RIDL,Duty,0.0,Jinasena_MasterData_Purchase.tariff_date_id_743,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17127,10,1,0.0,SRL,Duty,0.0,Jinasena_MasterData_Purchase.tariff_date_id_743,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17128,10,1,0.0,Surcharge,Duty,0.0,Jinasena_MasterData_Purchase.tariff_date_id_743,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17129,10,1,0.0,NBT,Taxes,0.0,Jinasena_MasterData_Purchase.tariff_date_id_743,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17130,10,1,0.0,NBT-N,Taxes,0.0,Jinasena_MasterData_Purchase.tariff_date_id_743,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
