id,x_studio_company_id/id,x_active,x_studio_sequence,x_studio_description,x_name
tariffmaster_3815_90_00,,1,10,Catalyst,3815.90.00
tariffmaster_3907_29_00,,1,10,Noyrl,3907.29.00
tariffmaster_7318_16_00,,1,10,Nuts,7318.16.00
tariffmaster_7412_20_00,,1,10,Connectors,7412.20.00
tariffmaster_8413_70_19,,1,10,Centrifugal Water Pumps,8413.70.19
tariffmaster_8413_91_90,,1,10,Pump Parts - Other,8413.91.90
tariffmaster_8421_21_10,,1,10,Household Purifier,8421.21.10
tariffmaster_8433_53_00,,1,10,Harvesting Machine,8433.53.00
tariffmaster_8481_30_00,,1,10,Check Valve,8481.30.00
tariffmaster_8484_20_00,,1,10,Mechanical Seals,8484.20.00
tariffmaster_8501_40_10,,1,10,Motors,8501.40.10
tariffmaster_8501_52_10,,1,10,Teco M,8501.52.10
tariffmaster_8503_00_90,,1,10,Fan Cover,8503.00.90
tariffmaster_8532_25_90,,1,10,Running Cpacitors,8532.25.90
tariffmaster_8536_20_00,,1,10,Otter Safety,8536.20.00
tariffmaster_9026_20_00,,1,10,For measuring or checking pressure,9026.20.00
tariffmaster_9032_20_00,,1,10,Pre. Switches,9032.20.00
tariffmaster_7318_15_00,,1,10,Spare Parts For CNC Lathe,7318.15.00
tariffmaster_7415_33_90,,1,10,Hex nut,7415.33.90
tariffmaster_2849_20_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Silicon Carbide,2849.20.00
tariffmaster_3208_10_10,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Varnish,3208.10.10
tariffmaster_3506_10_90,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Super Glue,3506.10.90
tariffmaster_3506_99_90,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Loctite 609,3506.99.90
tariffmaster_3810_90_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Activator 4108,3810.90.00
tariffmaster_3815_90_00_1000,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Catalyst,3815.90.00
tariffmaster_3816_00_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Steel Pak,3816.00.00
tariffmaster_3824_10_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Lustron -F,3824.10.00
tariffmaster_3824_99_90,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Garinoculant,3824.99.90
tariffmaster_3907_20_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Noryl,3907.20.00
tariffmaster_3907_29_00_1005,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Noyrl,3907.29.00
tariffmaster_3907_99_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Ultradur N,3907.99.00
tariffmaster_3909_40_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Gashare,3909.40.00
tariffmaster_3911_90_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Fortron,3911.90.00
tariffmaster_3917_21_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Copression,3917.21.00
tariffmaster_3917_31_90,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Jain,3917.31.90
tariffmaster_3917_39_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Service Saddle,3917.39.00
tariffmaster_3917_39_90,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Drip Lateral,3917.39.90
tariffmaster_3917_40_90,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Plange/ Tee/Reducer,3917.40.90
tariffmaster_3919_90_90,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,"Self-Adhesive Plates, Sheets, Film.",3919.90.90
tariffmaster_3920_69_10,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Polyestr Film,3920.69.10
tariffmaster_3920_69_19,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Polyester Film,3920.69.19
tariffmaster_3926_90_99,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Other,3926.90.99
tariffmaster_4010_39_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Other,4010.39.00
tariffmaster_4011_70_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Tyre,4011.70.00
tariffmaster_4016_93_90,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Oil Ring,4016.93.90
tariffmaster_4016_99_90,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Couplin Rubber,4016.99.90
tariffmaster_4823_90_90,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Gasket,4823.90.90
tariffmaster_5207_90_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Cotton Thread,5207.90.00
tariffmaster_5607_90_90,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Starter Rope,5607.90.90
tariffmaster_7215_50_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Thread Rolling Bars,7215.50.00
tariffmaster_7222_19_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Other,7222.19.00
tariffmaster_7304_41_10,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,S.S Tubing,7304.41.10
tariffmaster_7310_10_90,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Tank Weld,7310.10.90
tariffmaster_7310_29_90,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Fuel Tank,7310.29.90
tariffmaster_7318_15_00_1030,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,"Other Screws And Bolts, Whether Or Not With Their Nuts Or Wa",7318.15.00
tariffmaster_7318_16_00_1031,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Nuts,7318.16.00
tariffmaster_7318_19_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Other,7318.19.00
tariffmaster_7318_22_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Other Washers,7318.22.00
tariffmaster_7318_23_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Ss Pop Rivet,7318.23.00
tariffmaster_7318_29_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Other,7318.29.00
tariffmaster_7319_40_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Roll Pin,7319.40.00
tariffmaster_7320_90_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Spring,7320.90.00
tariffmaster_7326_90_90,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Other,7326.90.90
tariffmaster_7407_29_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Other,7407.29.00
tariffmaster_7412_20_00_1040,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Connectors,7412.20.00
tariffmaster_7415_33_90_1041,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Hex Nut,7415.33.90
tariffmaster_7415_39_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Other,7415.39.00
tariffmaster_7616_10_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Aluminnium Horns,7616.10.00
tariffmaster_7616_99_90,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Ring Terminal,7616.99.90
tariffmaster_8205_59_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Rachet,8205.59.00
tariffmaster_8207_19_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Tools,8207.19.00
tariffmaster_8208_90_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Bend Blade,8208.90.00
tariffmaster_8302_30_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Starter Handle,8302.30.00
tariffmaster_8407_90_90,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Nyashika Engine,8407.90.90
tariffmaster_8408_90_90,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Diesel Engines,8408.90.90
tariffmaster_8409_91_90,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Piston,8409.91.90
tariffmaster_8409_99_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Other,8409.99.00
tariffmaster_8412_90_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Piston,8412.90.00
tariffmaster_8413_30_00,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,1,10,Fuel Injection Pump Assemly,8413.30.00
