id,x_active,x_studio_sequence,x_name,x_studio_description,x_studio_company_id/id,x_studio_payment_term/id,x_studio_payable_account/id
vendor_group_ca_pur,1,10,CA-PUR,CASH VENDORS (PURCHASE),,Jinasena_MasterData_Accounting.account_payment_term_immediate_payment,Jinasena_MasterData_Accounting.account_account_creditors_control_trade
vendor_group_ca_purch,1,10,CA-PURCH,CASH PURCHASING EMPLOYEES,,Jinasena_MasterData_Accounting.account_payment_term_immediate_payment,Jinasena_MasterData_Accounting.account_account_creditor_control_employee
vendor_group_ca_sv,1,10,CA-SV,CASH VENDORS (SERVICES),,Jinasena_MasterData_Accounting.account_payment_term_immediate_payment,Jinasena_MasterData_Accounting.account_account_creditors_control_trade
vendor_group_cr_pur,1,10,CR-PUR,CREDIT VENDORS (PURCHASE),,Jinasena_MasterData_Accounting.account_payment_term_60_days_278,Jinasena_MasterData_Accounting.account_account_creditors_control_trade
vendor_group_cr_sv,1,10,CR-SV,CREDIT VENDORS (SERVICES),,Jinasena_MasterData_Accounting.account_payment_term_60_days_278,Jinasena_MasterData_Accounting.account_account_creditors_control_trade
vendor_group_emp_pay,1,10,EMP-PAY,EMPLOYEE RELATED PAYMENTS,,Jinasena_MasterData_Accounting.account_payment_term_30_days_276,Jinasena_MasterData_Accounting.account_account_creditors_control_trade
vendor_group_imp_ven,1,10,IMP-VEN,IMPORT VENDORS,,Jinasena_MasterData_Accounting.account_payment_term_immediate_payment,Jinasena_MasterData_Accounting.account_account_creditors_control_imports
vendor_group_imp_ven_cf,1,10,IMP-VEN-CF,IMPORT CLEARING/FORWARDING AGENTS VR,,Jinasena_MasterData_Accounting.account_payment_term_immediate_payment,Jinasena_MasterData_Accounting.account_account_creditors_control_trade
vendor_group_sbu1,1,10,SBU1,INTER COMPANY SBU 1,,Jinasena_MasterData_Accounting.account_payment_term_90_days_279,Jinasena_MasterData_Accounting.account_account_creditors_control_inter_company
vendor_group_tra_com,1,10,TRA-COM,TRADE COMMISSION,,Jinasena_MasterData_Accounting.account_payment_term_30_days_276,Jinasena_MasterData_Accounting.account_account_creditors_control_commission
vendor_group_ca_pur_249,1,10,CA-PUR,CASH VENDORS (PURCHASE),base.main_company,account.account_payment_term_immediate,Jinasena_MasterData_Accounting.account_account_creditors_control_trade_1127
vendor_group_ca_purch_250,1,10,CA-PURCH,CASH PURCHASING EMPLOYEES,base.main_company,account.account_payment_term_immediate,Jinasena_MasterData_Accounting.account_account_creditors_control_suspense_1140
vendor_group_ca_sv_251,1,10,CA-SV,CASH VENDORS (SERVICES),base.main_company,account.account_payment_term_immediate,Jinasena_MasterData_Accounting.account_account_creditors_control_trade_1127
vendor_group_cr_pur_252,1,10,CR-PUR,CREDIT VENDORS (PURCHASE),base.main_company,Jinasena_MasterData_Accounting.account_payment_term_60_days,Jinasena_MasterData_Accounting.account_account_creditors_control_trade_1127
vendor_group_cr_sv_253,1,10,CR-SV,CREDIT VENDORS (SERVICES),base.main_company,Jinasena_MasterData_Accounting.account_payment_term_60_days,Jinasena_MasterData_Accounting.account_account_creditors_control_trade_1127
vendor_group_emp_pay_254,1,10,EMP-PAY,EMPLOYEE RELATED PAYMENTS,base.main_company,Jinasena_MasterData_Accounting.account_payment_term_30_days,Jinasena_MasterData_Accounting.account_account_creditors_control_trade_1127
vendor_group_imp_ven_255,1,10,IMP-VEN,IMPORT VENDORS,base.main_company,account.account_payment_term_immediate,Jinasena_MasterData_Accounting.account_account_creditors_control_trade_1127
vendor_group_imp_ven_cf_256,1,10,IMP-VEN-CF,IMPORT CLEARING/FORWARDING AGENTS VR,base.main_company,account.account_payment_term_immediate,Jinasena_MasterData_Accounting.account_account_creditors_control_trade_1127
vendor_group_sbu1_257,1,10,SBU1,INTER COMPANY SBU 1,base.main_company,Jinasena_MasterData_Accounting.account_payment_term_90_days,Jinasena_MasterData_Accounting.account_account_creditors_control_trade_1127
vendor_group_tra_com_258,1,10,TRA-COM,TRADE COMMISSION,base.main_company,Jinasena_MasterData_Accounting.account_payment_term_30_days,Jinasena_MasterData_Accounting.account_account_creditors_control_trade_1127
